ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1994.6.1,1994,Balustrade,Betty Woodman,Ceramic  ,Denver International Airport,,,3231950.32643,1736307.19454,{00000000-0000-0000-0000-000000000000}
1994.7.1,1994,Pivot Emblem and Fenceline Artifact,Buster Simpson and Sherry Wiggins,Farm Implements,Denver International Airport,,,3232075.65802,1730694.85534,{00000000-0000-0000-0000-000000000000}
1994.8.1,1994,21st Century Artifacts,Carolyn Braaksma and Mark Villarrea,Bronze and terrazzo,Denver International Airport,,,3232037.13141,1735178.72142,{00000000-0000-0000-0000-000000000000}
1907.2.1,1907,National Humane Alliance Fountain,Unknown,Granite and Bronze,Colfax and Tremont street,,,3142517.82795,1694904.94496,{00000000-0000-0000-0000-000000000000}
1995.10.1,1995,The Evolution of the Ball,Lonnie Hanzon,Ceramic and Steel,Coors Field West Entrance,Wynkoop St and 20th Ave,,3141619.8501,1700463.15234,{00000000-0000-0000-0000-000000000000}
1995.11.1,1995,Bottom of the Ninth,Erick  Johnson,Neon,Coors Field Sandlot Brewery ,Blake St and 22nd,,3142680.1636,1700712.75061,{00000000-0000-0000-0000-000000000000}
1997.9.1,1997,Sign Post,Sara Jane Maclennan,Bronze Plaques,17th St Sidewalks from Larimer to Broadway,,,3141722.65565,1698521.6326,{00000000-0000-0000-0000-000000000000}
2004.13.1,2004,Cottonwood Leaf ,Andrew  Dufford,African Granite and bronze,Confluence Park,,,3138512.38878,1700138.18678,{00000000-0000-0000-0000-000000000000}
2009.1.1,2008,Global Rhythms,Bill & Mary  Buchen,Stainless Steel,Green Valley Ranch Park,Near Elementary School,,3211791.09164,1707178.85579,{00000000-0000-0000-0000-000000000000}
2009.10.1,2009,Imaginary Space and Time Tunnels,Alice  Aycock,Painted Aluminum,Montbello Recreation Center Exterior,,,3195044.07035,1714216.31415,{00000000-0000-0000-0000-000000000000}
2009.4.1,2009,Avian Front,Patrick  Marold,Recycled Steel ,Denver Zoo/City Park,southwest corner near duck pond,,3153298.85954,1697889.96492,{00000000-0000-0000-0000-000000000000}
2009.5.1,2009,Leaves of Grass,Tyler  Aiello,Steel,Red Rocks Park,,,3082534.8659,1667196.85404,{00000000-0000-0000-0000-000000000000}
2009.7.1,2009,Garden Stories,Lars Stanley,Painted Steel,Greenway Park/ Donated by DURA Stapleton,Denver Urban Gardens site,,3169619.49521,1698884.33464,{00000000-0000-0000-0000-000000000000}
2009.8.1,2009,Untitled,Anthony  Magar,Painted Steel,"Burns Park, Donation from Suzanne Joshel",western corner of park,,3157433.13409,1685401.77367,{00000000-0000-0000-0000-000000000000}
2010.1.1,2010,Dream Green,Kathy Bradford,Glass,Willis Case Golf Course,,,3127300.73306,1712192.08853,{00000000-0000-0000-0000-000000000000}
2010.11.1,2010,Red Forest,Constantine Dimopoulos,,Millenium Bridge: North Side,,,3139398.76234,1700119.17174,{00000000-0000-0000-0000-000000000000}
2010.13.1,2010,Untitled,Barnum Robert,Acrylic on Canvas,Murals in City and County Bldg. (council chambers),,,3143119.23916,1694511.86142,{00000000-0000-0000-0000-000000000000}
2010.15.1,2010,Reconciliation Bench,Tully Robert,Stone,Westwood Childcare Facility,,,3131140.55805,1679726.86902,{00000000-0000-0000-0000-000000000000}
2010.2.1,2010,1.26,Janet Echelman,Hand-knotted fibe and /Spectra Fiber,Temporary Project:  Civic Center Park to DAM,,,3143678.93455,1694062.41679,{00000000-0000-0000-0000-000000000000}
2010.3.1,2010,Untitled  Glass Canopy,Martin   Donlin and  Peter Kaufmann,Glass and steel,Justice Center - Post Office,,,3142311.05803,1694212.09235,{00000000-0000-0000-0000-000000000000}
